organic,anion,cation,hse06,gga,organic-homo,organic-lumo,organic-dipole,organic-atomization,organic-r_gyr,organic-total_mass,anion-electron_affinity,anion-ionization_energy,anion-mass,anion-electronegativity,cation-electron_affinity,cation-ionization_energy,cation-mass,cation-electronegativity
ammonium,Cl,Ge,2.8957,2.1817,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
ammonium,Br,Ge,2.7559,2.0807,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
ammonium,I,Ge,2.5905,1.9956,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
ammonium,F,Sn,4.9081,3.8068,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
ammonium,Cl,Sn,2.5818,1.8983,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
ammonium,Br,Sn,2.3812,1.7221,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
ammonium,I,Sn,2.3071,1.7199,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
ammonium,F,Pb,5.7579,4.3054,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
ammonium,Cl,Pb,3.7383,2.8234,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
ammonium,Br,Pb,3.2364,2.378,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
ammonium,I,Pb,2.8535,2.0452,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
azetidinium,F,Ge,5.1762,3.925,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
azetidinium,Cl,Ge,3.5629,2.6892,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
azetidinium,Br,Ge,2.8045,1.9935,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
azetidinium,I,Ge,2.0923,1.4519,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
azetidinium,F,Sn,4.4118,3.2736,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
azetidinium,Cl,Sn,2.6822,1.9365,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
azetidinium,Br,Sn,2.0922,1.4078,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
azetidinium,I,Sn,1.5849,1.0252,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
azetidinium,F,Pb,4.7658,3.3606,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
azetidinium,Cl,Pb,3.293,2.3229,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
azetidinium,Br,Pb,2.7591,1.8617,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
azetidinium,I,Pb,2.3181,1.5159,-0.53625,-0.19333,2.5188,-1.820933667732,1.2022594745638675,58.104000000000006,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
butylammonium,F,Ge,5.5517,4.3305,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
butylammonium,Cl,Ge,4.2964,3.3353,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
butylammonium,Br,Ge,3.569,2.6513,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
butylammonium,I,Ge,2.76,1.9921,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
butylammonium,F,Sn,4.8539,3.7624,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
butylammonium,Cl,Sn,3.7468,2.8612,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
butylammonium,Br,Sn,3.1681,2.3568,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
butylammonium,I,Sn,2.4672,1.7491,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
butylammonium,F,Pb,5.7128,4.4245,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
butylammonium,Cl,Pb,4.0285,2.9523,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
butylammonium,Br,Pb,3.3912,2.4083,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
butylammonium,I,Pb,2.7329,1.9361,-0.46372,-0.19805,8.6784,-2.597559386648,1.9552431406634987,74.14699999999999,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
dimethylammonium,F,Ge,5.5879,4.3686,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
dimethylammonium,Cl,Ge,3.7716,2.891,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
dimethylammonium,Br,Ge,2.9974,2.1972,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
dimethylammonium,I,Ge,2.2182,1.483,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
dimethylammonium,F,Sn,4.7575,3.6679,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
dimethylammonium,Cl,Sn,2.9218,2.1475,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
dimethylammonium,Br,Sn,2.4313,1.7324,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
dimethylammonium,I,Sn,1.8386,1.2672,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
dimethylammonium,F,Pb,5.1552,3.9164,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
dimethylammonium,Cl,Pb,3.3139,2.3908,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
dimethylammonium,Br,Pb,2.8697,2.0009,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
dimethylammonium,I,Pb,2.519,1.607,-0.59845,-0.19659,1.4879,-1.504113362432,1.2273785609097019,46.093,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
ethylammonium,F,Ge,5.3704,4.1048,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
ethylammonium,Cl,Ge,3.1393,2.2048,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
ethylammonium,Br,Ge,2.7138,1.8833,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
ethylammonium,I,Ge,2.2338,1.4809,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
ethylammonium,F,Sn,3.9789,2.8524,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
ethylammonium,Cl,Sn,2.2931,1.5692,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
ethylammonium,Br,Sn,2.0581,1.3219,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
ethylammonium,I,Sn,1.844,1.2713,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
ethylammonium,F,Pb,4.1518,2.8657,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
ethylammonium,Cl,Pb,2.8744,2.0233,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
ethylammonium,Br,Pb,2.5996,1.6915,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
ethylammonium,I,Pb,2.2316,1.3945,-0.5464,-0.20326,3.8078,-1.511365344432,1.2430033906154765,46.09300000000001,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
formamidinium,F,Ge,4.5314,3.2258,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
formamidinium,Cl,Ge,3.4479,2.5914,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
formamidinium,Br,Ge,2.584,1.8606,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
formamidinium,I,Ge,1.9667,1.419,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
formamidinium,F,Sn,3.8529,2.6688,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
formamidinium,Cl,Sn,2.8626,2.1304,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
formamidinium,Br,Sn,1.9874,1.3702,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
formamidinium,I,Sn,1.5618,1.0637,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
formamidinium,F,Pb,4.8007,3.3949,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
formamidinium,Cl,Pb,3.2914,2.3754,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
formamidinium,Br,Pb,2.7839,1.9223,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
formamidinium,I,Pb,2.3661,1.6258,-0.51456,-0.24322,0.2149,-1.16606733452,1.1316438420259367,45.065,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
guanidinium,F,Ge,5.5038,4.2847,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
guanidinium,Cl,Ge,3.6438,2.7209,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
guanidinium,Br,Ge,2.876,2.091,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
guanidinium,I,Ge,2.2305,1.6035,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
guanidinium,F,Sn,4.1905,3.2593,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
guanidinium,Cl,Sn,3.3492,2.5824,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
guanidinium,Br,Sn,2.1209,1.4178,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
guanidinium,I,Sn,1.6399,1.0856,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
guanidinium,F,Pb,5.5121,4.1478,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
guanidinium,Cl,Pb,3.4088,2.4624,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
guanidinium,Br,Pb,2.8001,1.913,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
guanidinium,I,Pb,2.3586,1.5862,-0.48729,-0.18547,0.0,-1.579657237524,1.2868169355634202,60.080000000000005,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
hydrazinium,F,Ge,5.3003,4.0646,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
hydrazinium,Cl,Ge,2.4942,1.7931,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
hydrazinium,Br,Ge,2.1431,1.5009,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
hydrazinium,I,Ge,1.8829,1.3701,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
hydrazinium,F,Sn,3.9676,2.8795,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
hydrazinium,Cl,Sn,2.4811,1.8717,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
hydrazinium,Br,Sn,1.909,1.34,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
hydrazinium,I,Sn,1.5249,1.0554,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
hydrazinium,F,Pb,4.9116,3.626,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
hydrazinium,Cl,Pb,3.8474,2.9813,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
hydrazinium,Br,Pb,3.1859,2.3859,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
hydrazinium,I,Pb,2.5636,1.8533,-0.51886,-0.22032,2.8664,-0.75850472622,0.8815852218447312,33.054,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
hydroxylammonium,F,Ge,5.4104,4.1513,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
hydroxylammonium,Cl,Ge,2.5629,1.9337,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
hydroxylammonium,Br,Ge,2.2463,1.6643,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
hydroxylammonium,I,Ge,2.1098,1.6032,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
hydroxylammonium,F,Sn,4.5701,3.4683,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
hydroxylammonium,Cl,Sn,3.3424,2.5228,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
hydroxylammonium,Br,Sn,2.6986,1.9845,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
hydroxylammonium,I,Sn,1.9713,1.4861,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
hydroxylammonium,F,Pb,5.3311,4.0136,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
hydroxylammonium,Cl,Pb,4.1047,3.1237,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
hydroxylammonium,Br,Pb,3.5014,2.608,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
hydroxylammonium,I,Pb,2.7773,1.9443,-0.58535,-0.23015,3.535,-0.610470697216,0.9139459671901186,34.038000000000004,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
imidazolium,F,Ge,4.5246,3.1585,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
imidazolium,Cl,Ge,3.5838,2.7072,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
imidazolium,Br,Ge,2.8815,2.1267,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
imidazolium,I,Ge,2.327,1.7434,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
imidazolium,F,Sn,3.985,2.6833,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
imidazolium,Cl,Sn,3.162,2.3972,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
imidazolium,Br,Sn,2.4152,1.7216,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
imidazolium,I,Sn,1.9179,1.3734,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
imidazolium,F,Pb,4.4501,3.2919,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
imidazolium,Cl,Pb,3.6158,2.5692,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
imidazolium,Br,Pb,2.8641,2.0313,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
imidazolium,I,Pb,2.348,1.5309,-0.4601,-0.22398,1.3965,-1.84142017812,1.2615654918700423,69.08699999999999,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
isopropylammonium,F,Ge,5.9083,4.6744,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
isopropylammonium,Cl,Ge,4.0419,3.0774,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
isopropylammonium,Br,Ge,3.1326,2.2287,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
isopropylammonium,I,Ge,2.452,1.7006,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
isopropylammonium,F,Sn,4.9553,3.8681,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
